VBELN,ERDAT,AUART,KUNNR,VKORG,VTWEG,SPART,WAERK
OR00001711,2022-03-17,RE,C000036,3000,10,01,USD
OR00001712,2021-10-08,RE,C000001,1000,10,01,EUR
OR00001713,2023-10-25,OR,C000024,2000,10,00,GBP
OR00001714,2023-02-06,OR,C000052,1000,30,01,EUR
OR00001715,2021-09-30,OR,C000025,1000,10,00,USD
OR00001716,2024-10-25,RE,C000025,3000,20,00,EUR
OR00001717,2021-09-29,OR,C000040,3000,10,02,USD
OR00001718,2023-08-09,ZOR,C000006,1000,30,00,USD
OR00001719,2024-09-04,ZOR,C000030,3000,20,00,EUR
OR00001720,2022-07-08,OR,C000026,2000,20,02,GBP
OR00001721,2022-03-03,OR,C000037,2000,10,00,USD
OR00001722,2022-01-30,RE,C000033,2000,10,02,GBP
OR00001723,2022-09-15,RE,C000035,2000,20,01,GBP
OR00001724,2021-12-26,ZOR,C000080,3000,30,00,EUR
OR00001725,2023-08-06,ZOR,C000059,3000,10,02,EUR
OR00001726,2021-10-10,RE,C000061,3000,20,02,EUR
OR00001727,2023-03-19,OR,C000050,2000,20,00,GBP
OR00001728,2024-11-07,OR,C000038,1000,20,01,USD
OR00001729,2023-11-28,RE,C000005,2000,30,02,GBP
OR00001730,2023-06-07,RE,C000025,2000,20,01,USD
OR00001731,2022-09-18,ZOR,C000036,1000,30,01,GBP
OR00001732,2023-06-13,OR,C000006,1000,20,02,USD
OR00001733,2023-04-02,OR,C000073,2000,10,01,EUR
OR00001734,2023-01-09,ZOR,C000041,3000,10,00,GBP
OR00001735,2022-02-13,OR,C000066,1000,20,01,EUR
OR00001736,2024-02-24,ZOR,C000050,3000,10,00,EUR
OR00001737,2023-01-29,RE,C000029,1000,10,01,USD
OR00001738,2022-05-14,RE,C000013,2000,10,00,USD
OR00001739,2022-11-17,RE,C000047,2000,30,02,EUR
OR00001740,2022-12-29,OR,C000066,3000,10,00,EUR
OR00001741,2023-12-13,OR,C000027,1000,10,00,USD
OR00001742,2023-09-11,OR,C000064,2000,10,00,EUR
OR00001743,2023-10-14,ZOR,C000069,3000,20,01,USD
OR00001744,2021-04-29,OR,C000070,1000,10,00,EUR
OR00001745,2022-12-31,ZOR,C000016,3000,10,01,GBP
OR00001746,2023-02-24,RE,C000049,3000,10,00,GBP
OR00001747,2021-06-06,ZOR,C000044,1000,20,01,EUR
OR00001748,2022-07-31,ZOR,C000071,1000,20,01,USD
OR00001749,2023-10-05,OR,C000010,3000,10,01,EUR
OR00001750,2022-02-23,OR,C000064,1000,20,02,GBP
OR00001751,2023-04-08,ZOR,C000013,2000,30,02,USD
OR00001752,2022-06-09,RE,C000005,2000,10,00,USD
OR00001753,2021-05-05,ZOR,C000021,3000,20,00,GBP
OR00001754,2022-07-10,RE,C000064,1000,30,01,USD
OR00001755,2024-08-09,ZOR,C000028,2000,20,01,USD
OR00001756,2023-11-15,ZOR,C000043,3000,30,01,EUR
OR00001757,2024-06-28,OR,C000004,2000,20,00,GBP
OR00001758,2023-03-01,RE,C000041,3000,20,01,USD
OR00001759,2022-01-10,ZOR,C000026,2000,30,00,USD
OR00001760,2023-04-18,ZOR,C000036,1000,20,00,USD
OR00001761,2023-02-02,OR,C000075,1000,20,01,EUR
OR00001762,2024-01-01,OR,C000074,1000,10,00,USD
OR00001763,2021-12-21,OR,C000034,2000,20,02,EUR
OR00001764,2023-03-02,ZOR,C000052,2000,20,01,USD
OR00001765,2022-03-15,ZOR,C000032,3000,20,00,EUR
OR00001766,2022-10-07,OR,C000047,2000,20,00,EUR
OR00001767,2023-09-14,RE,C000057,2000,30,00,USD
OR00001768,2023-02-20,OR,C000034,2000,10,02,USD
OR00001769,2022-11-25,OR,C000050,3000,10,01,EUR
OR00001770,2022-12-12,RE,C000056,2000,10,01,GBP
OR00001771,2023-02-06,RE,C000017,3000,30,01,EUR
OR00001772,2023-10-29,OR,C000001,2000,30,02,GBP
OR00001773,2024-03-02,OR,C000060,1000,10,00,GBP
OR00001774,2024-06-18,RE,C000008,1000,30,00,GBP
OR00001775,2023-10-31,OR,C000077,3000,30,02,USD
OR00001776,2022-09-28,ZOR,C000017,1000,30,01,USD
OR00001777,2023-08-03,ZOR,C000080,2000,30,02,EUR
OR00001778,2023-01-19,ZOR,C000053,2000,20,02,GBP
OR00001779,2022-07-25,ZOR,C000039,3000,20,01,EUR
OR00001780,2023-12-28,RE,C000064,2000,20,01,GBP
OR00001781,2021-08-10,OR,C000063,2000,20,02,USD
OR00001782,2024-03-16,ZOR,C000026,2000,10,02,GBP
OR00001783,2023-02-08,ZOR,C000072,2000,20,02,EUR
OR00001784,2023-06-23,RE,C000066,3000,20,00,EUR
OR00001785,2023-07-11,ZOR,C000026,1000,20,01,GBP
OR00001786,2024-03-06,OR,C000004,2000,20,02,USD
OR00001787,2023-06-23,ZOR,C000021,1000,10,02,GBP
OR00001788,2023-06-06,RE,C000070,2000,30,00,GBP
OR00001789,2021-10-19,OR,C000058,2000,20,01,EUR
OR00001790,2023-03-26,ZOR,C000056,2000,10,02,EUR
OR00001791,2022-03-15,RE,C000067,3000,30,01,EUR
OR00001792,2023-09-14,ZOR,C000042,2000,20,02,USD
OR00001793,2023-03-21,ZOR,C000076,2000,30,02,USD
OR00001794,2023-07-27,ZOR,C000032,2000,30,01,USD
OR00001795,2021-08-19,ZOR,C000027,2000,20,02,GBP
OR00001796,2021-11-26,ZOR,C000059,3000,30,00,USD
OR00001797,2023-08-27,ZOR,C000060,2000,10,01,EUR
OR00001798,2021-10-31,ZOR,C000074,3000,30,00,EUR
OR00001799,2021-10-29,RE,C000063,3000,10,01,USD
OR00001800,2021-05-05,RE,C000020,1000,30,01,EUR
OR00001801,2024-06-21,OR,C000006,3000,20,01,GBP
OR00001802,2023-09-14,ZOR,C000015,1000,10,00,EUR
OR00001803,2022-11-04,OR,C000006,1000,20,00,EUR
OR00001804,2022-09-08,ZOR,C000008,3000,20,00,USD
OR00001805,2022-10-31,OR,C000071,2000,30,00,EUR
OR00001806,2023-10-19,OR,C000075,2000,20,01,USD
OR00001807,2023-07-12,RE,C000039,1000,20,02,EUR
OR00001808,2022-05-02,RE,C000051,1000,10,01,USD
OR00001809,2022-04-17,ZOR,C000074,1000,20,01,USD
OR00001810,2021-12-21,RE,C000012,3000,20,01,GBP
OR00001811,2023-07-11,ZOR,C000078,3000,10,02,GBP
OR00001812,2023-10-09,ZOR,C000032,3000,10,01,EUR
OR00001813,2022-08-06,RE,C000048,2000,20,00,USD
OR00001814,2021-06-13,RE,C000066,1000,10,02,USD
OR00001815,2021-11-21,ZOR,C000060,1000,10,01,GBP
OR00001816,2024-07-18,OR,C000076,1000,20,00,USD
OR00001817,2022-09-07,ZOR,C000061,3000,10,02,USD
OR00001818,2023-10-14,RE,C000064,1000,20,02,GBP
OR00001819,2023-06-14,RE,C000033,3000,10,00,EUR
OR00001820,2022-11-30,OR,C000048,2000,20,00,EUR
OR00001821,2022-05-28,ZOR,C000072,3000,30,02,USD
OR00001822,2022-01-30,RE,C000032,2000,30,02,EUR
OR00001823,2023-06-07,OR,C000027,3000,30,00,USD
OR00001824,2023-10-19,OR,C000046,3000,20,00,USD
OR00001825,2023-06-28,RE,C000001,2000,20,00,EUR
OR00001826,2023-04-04,OR,C000015,3000,10,02,GBP
OR00001827,2021-08-20,ZOR,C000025,2000,20,00,GBP
OR00001828,2024-07-20,ZOR,C000050,2000,20,01,EUR
OR00001829,2023-11-12,ZOR,C000032,1000,20,00,EUR
OR00001830,2022-09-04,OR,C000054,3000,30,00,USD
OR00001831,2024-08-22,RE,C000056,1000,30,02,EUR
OR00001832,2023-05-28,ZOR,C000071,3000,30,00,GBP
OR00001833,2023-05-14,RE,C000074,2000,30,00,EUR
OR00001834,2023-09-24,RE,C000051,1000,30,00,EUR
OR00001835,2023-11-26,RE,C000020,3000,30,01,GBP
OR00001836,2023-07-08,ZOR,C000032,3000,20,02,USD
OR00001837,2022-02-09,OR,C000031,3000,20,02,USD
OR00001838,2022-10-20,OR,C000018,2000,10,00,GBP
OR00001839,2024-04-27,OR,C000063,1000,20,02,EUR
OR00001840,2022-06-20,ZOR,C000019,1000,20,01,USD
OR00001841,2022-11-21,RE,C000072,1000,30,02,USD
OR00001842,2023-01-14,OR,C000075,3000,10,02,USD
OR00001843,2023-01-20,RE,C000073,3000,30,02,EUR
OR00001844,2023-06-05,ZOR,C000042,1000,30,01,GBP
OR00001845,2024-05-24,OR,C000045,3000,20,00,GBP
OR00001846,2022-07-09,ZOR,C000043,1000,20,00,EUR
OR00001847,2022-01-30,OR,C000026,3000,30,00,USD
OR00001848,2022-05-18,RE,C000046,2000,30,02,GBP
OR00001849,2024-02-24,OR,C000031,3000,30,01,USD
OR00001850,2023-06-30,OR,C000066,3000,20,01,GBP
OR00001851,2022-08-28,RE,C000071,2000,30,02,USD
OR00001852,2023-11-30,RE,C000025,2000,20,00,GBP
OR00001853,2024-01-22,OR,C000002,1000,10,00,EUR
OR00001854,2024-01-04,ZOR,C000017,2000,10,02,GBP
OR00001855,2024-04-12,ZOR,C000021,3000,20,00,USD
OR00001856,2022-07-22,RE,C000064,2000,20,02,GBP
OR00001857,2023-09-30,ZOR,C000041,3000,10,02,USD
OR00001858,2023-02-07,OR,C000004,3000,20,01,EUR
OR00001859,2023-12-29,ZOR,C000046,3000,30,01,USD
OR00001860,2023-09-06,ZOR,C000029,2000,10,01,GBP
OR00001861,2023-10-21,OR,C000064,1000,20,01,USD
OR00001862,2023-07-08,RE,C000008,3000,20,01,USD
OR00001863,2022-04-22,OR,C000030,2000,20,00,GBP
OR00001864,2023-04-15,ZOR,C000028,1000,30,00,EUR
OR00001865,2024-09-07,OR,C000032,1000,20,01,GBP
OR00001866,2024-05-13,ZOR,C000043,1000,20,00,GBP
OR00001867,2021-08-23,ZOR,C000018,1000,20,00,USD
OR00001868,2022-04-05,OR,C000055,2000,10,02,EUR
OR00001869,2022-02-15,OR,C000080,3000,10,01,GBP
OR00001870,2023-09-04,ZOR,C000004,1000,20,02,GBP
OR00001871,2023-12-02,ZOR,C000028,2000,10,01,USD
OR00001872,2022-06-07,RE,C000002,3000,30,00,EUR
OR00001873,2023-03-16,OR,C000003,1000,10,00,EUR
OR00001874,2023-12-28,ZOR,C000026,1000,10,01,USD
OR00001875,2023-09-10,OR,C000062,1000,30,01,USD
OR00001876,2023-04-13,ZOR,C000035,3000,30,01,USD
OR00001877,2023-05-19,RE,C000078,3000,20,01,GBP
OR00001878,2023-03-18,ZOR,C000037,3000,10,02,USD
OR00001879,2022-09-09,ZOR,C000050,2000,20,02,USD
OR00001880,2023-05-01,OR,C000069,1000,20,02,EUR
OR00001881,2023-08-03,OR,C000034,3000,20,00,GBP
OR00001882,2024-02-06,ZOR,C000002,1000,20,01,USD
OR00001883,2023-06-23,ZOR,C000073,1000,20,00,EUR
OR00001884,2023-10-06,OR,C000060,1000,10,02,EUR
OR00001885,2022-03-29,RE,C000078,1000,20,02,GBP
OR00001886,2023-02-08,OR,C000072,1000,10,02,GBP
OR00001887,2021-04-20,ZOR,C000045,2000,20,02,USD
OR00001888,2022-07-16,ZOR,C000009,1000,10,02,EUR
OR00001889,2023-09-05,RE,C000064,3000,20,01,EUR
OR00001890,2024-10-08,OR,C000017,3000,20,01,USD
OR00001891,2021-12-23,RE,C000071,2000,10,02,GBP
OR00001892,2022-12-18,OR,C000058,2000,30,02,GBP
OR00001893,2023-11-14,ZOR,C000069,1000,20,01,USD
OR00001894,2022-05-26,ZOR,C000056,3000,30,02,GBP
OR00001895,2023-04-23,OR,C000050,3000,20,01,EUR
OR00001896,2023-09-10,ZOR,C000027,1000,10,01,EUR
OR00001897,2023-06-07,RE,C000075,1000,20,01,GBP
OR00001898,2022-05-06,RE,C000052,1000,10,02,GBP
OR00001899,2022-11-06,ZOR,C000004,2000,10,01,USD
OR00001900,2023-10-28,ZOR,C000037,3000,20,00,GBP
OR00001901,2023-04-22,ZOR,C000040,1000,20,02,EUR
OR00001902,2021-03-23,OR,C000011,1000,30,00,GBP
OR00001903,2023-10-06,RE,C000038,2000,20,01,EUR
OR00001904,2021-08-01,ZOR,C000052,3000,20,01,EUR
OR00001905,2023-09-22,RE,C000008,3000,30,02,EUR
OR00001906,2022-05-24,RE,C000056,3000,30,01,GBP
OR00001907,2024-06-24,ZOR,C000030,3000,20,00,USD
OR00001908,2022-11-17,ZOR,C000015,3000,10,01,EUR
OR00001909,2022-10-09,ZOR,C000078,2000,20,02,GBP
OR00001910,2022-03-13,ZOR,C000031,2000,20,02,EUR
OR00001911,2022-09-18,OR,C000042,3000,10,02,GBP
OR00001912,2024-02-10,RE,C000061,1000,30,00,EUR
OR00001913,2024-11-05,OR,C000010,3000,30,01,GBP
OR00001914,2022-11-18,OR,C000010,3000,20,01,GBP
OR00001915,2023-01-28,ZOR,C000050,1000,30,02,USD
OR00001916,2023-09-01,ZOR,C000045,2000,20,00,GBP
OR00001917,2024-02-23,OR,C000026,3000,10,01,EUR
OR00001918,2023-05-21,ZOR,C000017,3000,30,00,EUR
OR00001919,2022-12-09,RE,C000044,1000,30,02,USD
OR00001920,2022-12-28,RE,C000061,3000,30,02,EUR
OR00001921,2023-08-09,OR,C000029,3000,30,00,USD
OR00001922,2021-03-06,OR,C000077,1000,30,01,EUR
OR00001923,2023-06-10,ZOR,C000076,1000,10,02,GBP
OR00001924,2022-11-06,OR,C000051,2000,10,01,GBP
OR00001925,2023-11-08,RE,C000014,1000,10,02,EUR
OR00001926,2021-12-11,ZOR,C000061,2000,20,01,GBP
OR00001927,2023-05-18,OR,C000068,2000,20,02,EUR
OR00001928,2023-02-24,RE,C000051,2000,20,02,GBP
OR00001929,2023-06-27,RE,C000067,1000,10,00,GBP
OR00001930,2021-10-16,OR,C000059,2000,20,01,USD
OR00001931,2023-05-12,OR,C000003,2000,30,00,EUR
OR00001932,2023-04-28,OR,C000073,3000,20,00,EUR
OR00001933,2023-04-27,ZOR,C000056,3000,20,02,GBP
OR00001934,2023-05-29,ZOR,C000003,2000,30,00,EUR
OR00001935,2023-07-24,RE,C000070,1000,20,00,GBP
OR00001936,2023-11-19,OR,C000012,2000,30,01,USD
OR00001937,2022-08-11,RE,C000035,3000,10,02,GBP
OR00001938,2023-12-10,ZOR,C000027,3000,10,02,GBP
OR00001939,2023-03-10,OR,C000010,1000,30,01,USD
OR00001940,2021-11-10,OR,C000020,1000,10,01,GBP
OR00001941,2021-10-01,ZOR,C000071,2000,10,00,USD
OR00001942,2022-10-16,RE,C000052,3000,10,00,GBP
OR00001943,2023-10-29,ZOR,C000060,1000,10,01,EUR
OR00001944,2023-08-19,OR,C000056,1000,20,02,USD
OR00001945,2023-11-02,ZOR,C000002,3000,30,00,USD
OR00001946,2023-03-25,OR,C000029,2000,20,02,EUR
OR00001947,2023-01-21,RE,C000069,1000,30,00,USD
OR00001948,2022-03-11,OR,C000062,3000,10,01,GBP
OR00001949,2022-10-10,OR,C000008,2000,20,01,USD
OR00001950,2023-01-16,OR,C000072,3000,20,01,EUR
OR00001951,2021-12-03,OR,C000018,3000,10,00,GBP
OR00001952,2022-06-16,OR,C000050,1000,30,02,USD
OR00001953,2023-05-25,ZOR,C000035,2000,30,01,GBP
OR00001954,2023-09-13,ZOR,C000043,3000,20,01,EUR
OR00001955,2024-11-23,OR,C000027,2000,30,01,USD
OR00001956,2024-05-06,RE,C000068,2000,10,01,GBP
OR00001957,2023-06-27,ZOR,C000078,2000,20,02,EUR
OR00001958,2023-01-05,OR,C000052,2000,10,01,USD
OR00001959,2023-06-23,RE,C000015,1000,10,01,EUR
OR00001960,2023-10-30,OR,C000024,2000,20,00,EUR
OR00001961,2022-01-25,ZOR,C000074,3000,20,01,GBP
OR00001962,2022-12-26,RE,C000035,3000,10,01,GBP
OR00001963,2023-12-27,ZOR,C000041,2000,30,00,GBP
OR00001964,2022-12-02,RE,C000034,1000,10,00,GBP
OR00001965,2023-05-06,RE,C000062,3000,20,00,EUR
OR00001966,2023-05-18,RE,C000049,2000,10,02,EUR
OR00001967,2022-05-01,ZOR,C000014,1000,10,02,USD
OR00001968,2022-11-12,OR,C000024,3000,30,02,EUR
OR00001969,2022-10-17,OR,C000019,2000,30,01,EUR
OR00001970,2021-07-03,RE,C000022,2000,30,02,GBP
OR00001971,2021-06-25,OR,C000077,2000,20,01,USD
OR00001972,2023-12-18,RE,C000071,3000,20,01,GBP
OR00001973,2022-08-14,ZOR,C000051,2000,10,00,USD
OR00001974,2023-03-26,RE,C000049,2000,10,02,USD
OR00001975,2022-09-11,ZOR,C000036,2000,30,02,EUR
OR00001976,2024-05-20,OR,C000042,2000,20,02,GBP
OR00001977,2022-07-30,RE,C000021,3000,10,02,EUR
OR00001978,2023-01-12,OR,C000017,2000,30,02,EUR
OR00001979,2024-02-05,ZOR,C000019,1000,10,01,EUR
OR00001980,2023-12-29,RE,C000058,1000,30,01,EUR
OR00001981,2022-05-03,OR,C000007,3000,30,00,USD
OR00001982,2023-11-16,OR,C000021,3000,10,01,EUR
OR00001983,2023-02-05,RE,C000026,3000,10,00,USD
OR00001984,2023-02-25,OR,C000025,3000,10,00,EUR
OR00001985,2022-02-18,OR,C000060,2000,20,00,EUR
OR00001986,2021-11-18,ZOR,C000040,2000,10,00,EUR
OR00001987,2023-09-06,RE,C000045,1000,10,00,GBP
OR00001988,2023-03-08,OR,C000078,2000,30,02,EUR
OR00001989,2023-01-18,ZOR,C000039,2000,10,00,GBP
OR00001990,2023-09-07,ZOR,C000020,2000,30,01,EUR
OR00001991,2023-10-10,OR,C000055,3000,20,00,GBP
OR00001992,2022-03-27,RE,C000031,2000,10,02,USD
OR00001993,2023-06-03,OR,C000076,3000,30,00,EUR
OR00001994,2022-02-21,OR,C000065,2000,30,00,EUR
OR00001995,2023-09-27,ZOR,C000050,3000,10,01,GBP
OR00001996,2023-07-09,ZOR,C000066,2000,30,01,USD
OR00001997,2024-06-21,RE,C000075,2000,30,01,GBP
OR00001998,2021-10-24,ZOR,C000018,2000,30,02,USD
OR00001999,2021-09-28,ZOR,C000074,1000,20,02,GBP
OR00002000,2022-08-24,OR,C000001,1000,10,00,EUR
OR00002001,2022-08-02,RE,C000022,2000,10,00,EUR
OR00002002,2022-07-17,OR,C000003,2000,30,00,GBP
OR00002003,2024-03-23,OR,C000065,3000,10,02,EUR
OR00002004,2022-07-19,ZOR,C000051,2000,10,01,GBP
OR00002005,2022-08-13,ZOR,C000023,1000,10,01,EUR
OR00002006,2023-10-05,ZOR,C000043,1000,30,02,EUR
OR00002007,2023-01-29,OR,C000059,3000,20,01,USD
OR00002008,2023-10-21,ZOR,C000057,2000,30,00,USD
OR00002009,2021-10-17,ZOR,C000017,3000,20,02,EUR
OR00002010,2023-03-01,OR,C000044,3000,10,02,GBP
OR00002011,2021-07-27,OR,C000066,1000,30,02,GBP
OR00002012,2021-10-11,RE,C000053,3000,20,02,USD
OR00002013,2024-03-23,ZOR,C000029,3000,10,01,EUR
OR00002014,2022-02-27,OR,C000077,2000,20,02,GBP
OR00002015,2023-04-06,ZOR,C000071,3000,10,02,GBP
OR00002016,2022-12-27,ZOR,C000008,1000,10,00,GBP
OR00002017,2022-10-29,OR,C000040,2000,20,00,EUR
OR00002018,2024-03-13,OR,C000052,3000,30,00,GBP
OR00002019,2021-06-17,RE,C000023,1000,10,00,GBP
OR00002020,2023-07-14,OR,C000074,3000,30,01,USD
OR00002021,2024-07-07,RE,C000032,3000,20,02,EUR
OR00002022,2023-04-27,RE,C000025,1000,30,00,EUR
OR00002023,2024-05-12,OR,C000032,1000,20,00,EUR
OR00002024,2021-09-16,RE,C000064,1000,30,02,GBP
OR00002025,2023-01-02,OR,C000065,1000,30,00,USD
OR00002026,2022-07-31,RE,C000062,2000,10,02,GBP
OR00002027,2023-09-08,ZOR,C000015,1000,10,00,EUR
OR00002028,2024-08-26,OR,C000009,2000,20,01,GBP
OR00002029,2022-07-27,RE,C000007,2000,30,02,EUR
OR00002030,2023-07-06,RE,C000052,3000,10,02,USD
OR00002031,2022-05-19,RE,C000075,2000,20,01,GBP
OR00002032,2023-05-01,OR,C000053,3000,10,00,GBP
OR00002033,2023-02-10,ZOR,C000051,1000,30,02,EUR
OR00002034,2024-07-29,OR,C000070,2000,30,02,USD
OR00002035,2023-06-02,OR,C000052,1000,10,02,USD
OR00002036,2022-10-31,ZOR,C000069,2000,30,00,EUR
OR00002037,2022-01-17,ZOR,C000003,2000,10,00,EUR
OR00002038,2022-03-16,RE,C000066,2000,20,02,USD
OR00002039,2022-06-21,OR,C000005,1000,30,02,USD
OR00002040,2022-07-21,RE,C000020,2000,10,00,GBP
OR00002041,2024-01-09,RE,C000054,3000,10,00,EUR
OR00002042,2023-04-28,RE,C000034,2000,10,02,GBP
OR00002043,2023-03-30,RE,C000054,2000,30,02,EUR
OR00002044,2022-01-19,OR,C000059,3000,10,02,EUR
OR00002045,2024-01-20,OR,C000056,2000,30,01,USD
OR00002046,2023-09-01,RE,C000073,1000,20,02,USD
OR00002047,2021-10-22,ZOR,C000018,2000,30,00,USD
OR00002048,2023-08-19,OR,C000036,1000,30,01,USD
OR00002049,2023-04-14,RE,C000063,2000,10,00,GBP
OR00002050,2021-11-20,RE,C000077,2000,10,02,GBP
OR00002051,2023-02-05,OR,C000003,2000,30,02,EUR
OR00002052,2023-02-27,ZOR,C000028,1000,10,00,GBP
OR00002053,2022-04-06,RE,C000073,1000,20,00,EUR
OR00002054,2024-05-29,ZOR,C000077,2000,10,01,USD
OR00002055,2024-01-08,OR,C000070,2000,30,02,USD
OR00002056,2023-07-18,OR,C000015,1000,20,02,GBP
OR00002057,2023-02-08,OR,C000059,2000,30,02,USD
OR00002058,2022-12-27,ZOR,C000031,1000,30,02,EUR
OR00002059,2023-07-04,ZOR,C000077,1000,20,02,USD
OR00002060,2023-04-16,ZOR,C000059,3000,20,00,GBP
OR00002061,2021-10-10,OR,C000026,2000,20,00,EUR
OR00002062,2023-03-21,ZOR,C000064,3000,30,01,USD
OR00002063,2023-11-20,RE,C000059,3000,20,02,GBP
OR00002064,2023-02-06,OR,C000032,1000,10,01,GBP
OR00002065,2021-09-15,OR,C000076,2000,30,02,GBP
OR00002066,2023-10-31,RE,C000025,1000,10,02,EUR
OR00002067,2022-05-23,ZOR,C000080,3000,30,00,EUR
OR00002068,2022-07-30,ZOR,C000057,1000,30,01,GBP
OR00002069,2022-04-04,RE,C000034,2000,30,02,GBP
OR00002070,2022-10-12,RE,C000036,2000,30,01,GBP
OR00002071,2023-10-02,OR,C000064,3000,20,00,GBP
OR00002072,2023-03-27,OR,C000019,2000,10,00,EUR
OR00002073,2022-05-27,ZOR,C000018,1000,10,02,EUR
OR00002074,2024-02-12,RE,C000050,1000,30,00,GBP
OR00002075,2024-02-14,OR,C000051,2000,10,02,GBP
OR00002076,2024-02-02,ZOR,C000053,1000,20,00,GBP
OR00002077,2022-07-07,OR,C000043,1000,10,00,EUR
OR00002078,2023-01-30,ZOR,C000069,2000,10,00,USD
OR00002079,2024-09-08,OR,C000043,2000,10,01,GBP
OR00002080,2023-10-17,OR,C000055,1000,20,01,USD
OR00002081,2021-07-06,RE,C000014,3000,10,00,GBP
OR00002082,2021-10-16,OR,C000077,3000,10,02,USD
OR00002083,2023-02-10,RE,C000071,3000,10,01,EUR
OR00002084,2024-03-27,ZOR,C000009,3000,20,02,EUR
OR00002085,2023-04-11,RE,C000080,2000,30,02,GBP
OR00002086,2023-03-09,ZOR,C000064,2000,20,01,GBP
OR00002087,2022-01-03,OR,C000008,3000,30,02,EUR
OR00002088,2023-07-09,ZOR,C000071,2000,10,00,EUR
OR00002089,2023-12-07,ZOR,C000063,3000,20,00,GBP
OR00002090,2022-11-29,ZOR,C000067,2000,30,01,USD
OR00002091,2023-10-20,ZOR,C000018,3000,10,00,USD
OR00002092,2024-07-09,ZOR,C000011,1000,30,01,EUR
OR00002093,2022-05-26,OR,C000035,2000,30,00,EUR
OR00002094,2023-03-30,RE,C000024,3000,10,02,EUR
OR00002095,2022-08-30,RE,C000032,1000,20,00,USD
OR00002096,2023-11-06,ZOR,C000059,2000,20,02,EUR
OR00002097,2023-05-10,OR,C000024,2000,30,01,EUR
OR00002098,2023-06-21,RE,C000069,3000,20,00,USD
OR00002099,2023-11-11,RE,C000076,2000,10,00,GBP
OR00002100,2022-12-13,ZOR,C000061,2000,30,01,GBP
OR00002101,2024-04-05,OR,C000057,3000,20,02,USD
OR00002102,2023-04-06,RE,C000018,1000,30,02,EUR
OR00002103,2022-03-26,OR,C000003,3000,20,00,GBP
OR00002104,2023-08-09,RE,C000046,2000,10,01,USD
OR00002105,2023-11-07,OR,C000067,2000,10,01,USD
OR00002106,2022-09-29,RE,C000050,2000,20,00,USD
OR00002107,2024-01-17,ZOR,C000033,2000,10,02,GBP
OR00002108,2024-03-23,ZOR,C000053,3000,20,01,USD
OR00002109,2022-08-19,ZOR,C000048,3000,30,00,GBP
OR00002110,2024-09-03,ZOR,C000019,3000,20,02,GBP
OR00002111,2022-03-01,OR,C000024,2000,30,02,GBP
OR00002112,2022-05-24,RE,C000075,2000,10,02,GBP
OR00002113,2022-05-01,ZOR,C000058,3000,30,02,USD
OR00002114,2024-03-05,ZOR,C000021,3000,30,02,EUR
OR00002115,2023-07-07,RE,C000002,1000,30,00,USD
OR00002116,2022-03-18,OR,C000034,1000,10,00,EUR
OR00002117,2023-01-21,ZOR,C000011,3000,20,01,GBP
OR00002118,2023-06-07,RE,C000025,1000,10,02,GBP
OR00002119,2021-11-23,RE,C000045,2000,20,01,USD
OR00002120,2024-02-18,OR,C000068,3000,20,01,EUR
OR00002121,2023-11-17,ZOR,C000033,1000,30,00,EUR
OR00002122,2023-03-15,OR,C000022,3000,10,01,USD
OR00002123,2024-07-16,RE,C000022,2000,10,01,GBP
OR00002124,2023-01-01,OR,C000073,3000,10,01,EUR
OR00002125,2024-09-05,ZOR,C000068,3000,20,01,GBP
OR00002126,2023-07-17,ZOR,C000024,2000,20,01,EUR
OR00002127,2023-06-21,ZOR,C000043,3000,30,02,USD
OR00002128,2022-04-06,OR,C000015,2000,20,02,EUR
OR00002129,2024-02-17,ZOR,C000032,2000,10,00,EUR
OR00002130,2023-01-10,ZOR,C000016,1000,30,01,GBP
OR00002131,2022-04-01,RE,C000073,2000,20,00,USD
OR00002132,2021-05-07,ZOR,C000024,2000,10,01,GBP
OR00002133,2023-04-27,ZOR,C000016,2000,20,00,GBP
OR00002134,2023-04-02,RE,C000051,3000,20,00,EUR
OR00002135,2023-08-29,ZOR,C000053,2000,10,00,USD
OR00002136,2024-02-29,RE,C000024,2000,10,01,GBP
OR00002137,2021-11-15,OR,C000025,3000,20,02,USD
OR00002138,2023-09-09,OR,C000055,2000,20,00,USD
OR00002139,2022-05-05,OR,C000038,2000,30,02,GBP
OR00002140,2024-01-18,OR,C000068,1000,20,01,GBP
OR00002141,2023-12-04,OR,C000075,2000,20,00,GBP
OR00002142,2023-04-12,ZOR,C000047,1000,10,02,EUR
OR00002143,2023-08-21,ZOR,C000006,3000,20,00,GBP
OR00002144,2022-09-27,ZOR,C000080,2000,30,01,GBP
OR00002145,2023-02-16,OR,C000038,1000,20,01,EUR
OR00002146,2023-12-07,RE,C000009,3000,10,01,EUR
OR00002147,2023-02-06,RE,C000039,3000,20,00,GBP
OR00002148,2022-11-08,OR,C000049,3000,10,02,USD
OR00002149,2023-03-07,RE,C000052,2000,20,00,USD
OR00002150,2023-12-14,ZOR,C000012,1000,20,00,EUR
OR00002151,2022-10-17,ZOR,C000034,1000,20,01,EUR
OR00002152,2022-04-17,RE,C000033,2000,20,00,USD
OR00002153,2023-08-23,RE,C000054,2000,20,02,GBP
OR00002154,2023-12-11,ZOR,C000001,3000,10,00,EUR
